Username,Comment
Nurul Nasir,Kami harap pemerintah indonesia buat lockdown mulai sekarang sebelum semuanya menjadi kacau seperti negara2 lainLebih baik mencegah sejak dini dari pada mengobati dalam sekala besar
Antok baeke,Indonesia banyak yang meninggal.. Inalillahi wa Inalillahi rojiun..
Bunga Lily,Ya Allah..😩😭😭😭
Ni'matul Maula,semoga saya menikah dgn kekasih...
Reza Ach,"jumlah yang ""Knock"" lebih banyak dr pada jumlah yang ""Survive"", tanda tanda ada pro player disini."
BijikRas Channel,"Serius nanya, kalo di lockdown diapain sihh... Kok pada terial teriak lockdown.... Kalo lockdown, malem malem masih kelilinh naek motor nyari nasi goreng itu namanya lockdown?"
Zoss terops,Sy kurir dr salah satu ekpedisi di indonesia.. smpai saat ini msh banyak paket kiriman dr cina/luar negri. Customer yg pnya paket pun takut mnerimanya kami jg takut . Kami smpai saat ini blum libur2. Bagaiman tdk kontak dekat saat kami mmberi paket
Kids Youtuber,"Pemerintah berharap kita social distancing, tpi kita g melakukan lockdown. Ya logika kita akan berpikir, bagaimana mau diam dirumah, sementara orang harus bekerja. Kecuali ada tabungan cukup, ya aman2 aja. Tpi yg g punya..??? Mau makan apa? Saya juga merasa lockdown akan membuat kita terpuruk, tpi mau gimna lgi, klu mau menghambat ya g ada pilihan lain. Kecuali kita bisa melakukan tes massal dengan cepat. Ya tampa lockdown kitabbisa menekan penyebarannya."
Egi Endawan,Ini saran dari aku yahhSering lah berwudhuKalian  lihat warga Islam di Wuhan tidak terjangkit corona Sedangkan warga yang bukan Islam di wuhan  banyak yang tenjangkit corona 
Adi Romanisty,Yang koment pada gak nyimak isi beritanya.. welcome to Indonesia
Nizar Ijunk,"Kenapa takut kepapa virus corona,takutlah yg membuat corona"
Lorisda Aruan,"Seharusnya tenaga medis jug siap sedia di bandara atau dtmpat2 orang sering melalui pergi kluar negeri, biar orang2 yg terkena bisa terdeteksi sedini mungkin."
ortiza_chanel Official,"Ya Alloh cepatlah tarik pasukanmu...dan hendaklah selesaikan tugas mahluk kecil  ciftaan-Mu ini (corona).Lindungilah orang orang mu'min mu'minat...muslimin dan muslimat...ya Alloh jika mereka (corona virus) diciftakan oleh-Mu untuk mengingatkan taubat.berikanlah waktu dan hidayah agar kami segera taubat,dan selalu menjalankan perintahmu ya Alloh...amin ya robbal alamin"
Anwar Ilmar,"Kebanyakan konferensi pers,  ngomong bisa,  praktik ny ga sesuai,  pemerintah abal abal"
SURYA SENJA,Sekarang mau test virus corona juga harus bayar sekitar satu juta . D tengah tengah pandemi yg menyebar luas msih saja ada orang - orang yg mengambil keuntungan
Srikurnia Srikurnia,Biar lah pak..yg bandel2  itu kena korona NNT juga ga tertolong meninggal..d kasih tau pd ngeyel...ya sudah..
Erik Oba,saya tdk henti henti nya menyampaikan kematian dan positif...WOE ...sadar tdk himbauan tdk bisa digunakan untuk masarakat 62 seperti ini...tdk semua orang nonton berita...tdk ada solusi karna..penyebaran akan semakin banyak..di sebabkan kan jalur penerbangan antar daerah maunpun asing  masi di buka...kapal2 masi nyebrang antar daerah daerah jawa ke sulewesi ...dari bali ke papua...dari kalimantan ke lombok..ini apaan ini...kalau seperti ini tdk bisa pak..pemerintah seharusnya tegas..biar yg masuk ke daerah2 cuma kebutuhan pokok saja....antar manusia di larang masuk pak...ini nyawa....jgn anggap reme...seperti negara italia...pemerintaah dan rakytanya anggap reme ...sehingga ratusan  kantong2 mayat di kubur tiap hari ....karna rumah sakit dan alat bantu pernapasan tdk tersedia sebanyak itu pak...sehingha mati ...seharusnya bisa tapi yg kena ribuan ....kalau di indonesia seperti itu...maka akan mengikuti seperti italia ..malahan sangat mengerikan...sy yakin alat bantu pernapasan kita untuk ribuan atau seratus ribuan ...korban...tdk sanggup....jln satu2 lockdown antar daerah ....pak....biar yg masuk kebutuhan makanan saja....jgn sampai terlambat pak presiden....
Roy Andresen,"Katanya dulu ga bahaya,...Sekarang bilang bahaya,.."
suka suka Tina,Kenapaaa indonesiaa tidak memberi kebijaksanaaan memakai masker kenapaaa lihat negara negara yang lain merekaaa memakai masker untuk menhindari tertular Dalam jumlah  Yang banyak  please dech Gunakan masker
tio tio,pengumuman resmi pemerintah ind warga ind yg terinfeksi positif  corona tgl 2 / 3  2020 berjumlah 2 org tgl 22/ 3  2020 selang wktu 20 hari 
ian jimmy,Harus inisiatif ini virus sangat berbahaya..lockdown dulu biar ga saling menularkan
Akay 150,Sampah Jakarta tolong di isolasi ke Senayan saja Pak ... untuk jaga jaga Corona nya ikut ke Bekasi  dan masuk wilayah Jabar sampai detik ini masih saja di kirim  !!! Bukan nya macam2 virus ada d situ ??? Bukan hanya kita yang nongkrong Pak polisi minta kita bubar ( hadeuuhhh )
arifin finn,COVID 19C -> CUCITANGAN ( WUDHU )O -> OLLAHRAGA
Deden Aja,KALAU WAKTUNYA MATI YA MATI AJA. PEMEGANG KUNCI SORGA LEBIH TAKUT DENGAN VIRUS CORONA.
ukie official,Suruh masyarakat antisipasi ini itu tp negara tidak lock down?!?!? Gmn ini?
Harianto Hasan,Data nya masih kurang update ...apakah data dari daerah blum masuk semua...contohnya Sulawesi Selatan jumlah kematian 0 padahal salah satu pasien positif nya udah meninggal sejak tgl 15 maret dan hasil lab baru ada di tanggal 19 maret.... sehingga jenasah tidak diperlakukan seperti yng kena COVid19 sehingga odp di Makassar meningkat
firman adnan,Santuy badai pasti berlalau.. walau istriku lagi hamil semoga baik2 aja ga ada masalah..
Mirza Ahmad,"Di luar jawa mungkin lebih banyak, apalagi Manado.di jakarta gubernurnya Anies Baswedan, jelas dia peduli terhadap wabah ini. alat pendeteksinya ada, beli pakai uang anggaran daerah.jadi nominalnya ketahuan karena di check terus menerus 😊"
Lukia Stream,"Dan detik ini Indonesia dapet ranking 1 Persentase Kematian karena Corona dari Seluruh dunia!!!! (Total positif 514, Kematian 48) Makasih menkes dapat juara 1...."
Raynaldi Eka Kesuma Putra,Jokowi Indonesia Harus Lockdown Sekarang Juga
Sardo Korintus,Lebih banyak meninggal dari yang sembuh. Ini sih kacau banget. Mulai kelihatan keborokan rejim jokowi. Tidak ada peningkatan pelayanan kesehatan. Beton mulu otaknya.
